index,order_name,soure,ayeh_count,order,city
1,63,فاتحه,۷,5,مکی
2,16,بقره,۲۸۶,87,مدنی
3,1,آل عمران,۲۰۰,89,مدنی
4,104,نساء,۱۷۶,92,مدنی
5,84,مائده,۱۲۰,113,مدنی
6,12,انعام,۱۶۵,55,مکی
7,7,اعراف,۲۰۶,39,مکی
8,13,انفال,۷۵,88,مدنی
9,23,توبه (برائت),۱۲۹,114,مدنی
10,114,یونس,۱۰۹,51,مکی
11,110,هود,۱۲۳,52,مکی
12,113,یوسف,۱۱۱,53,مکی
13,37,رعد,۴۳,96,مدنی
14,2,ابراهیم,۵۲,72,مکی
15,30,حِجر,۹۹,54,مکی
16,103,نحل,۱۲۸,70,مکی
17,6,اسراء,۱۱۱,50,مکی
18,80,کهف,۱۱۰,69,مکی
19,90,مریم,۹۸,44,مکی
20,54,طه,۱۳۵,45,مکی
21,9,انبیاء,۱۱۲,73,مکی
22,29,حج,۷۸,104,مدنی
23,98,مؤمنون,۱۱۸,74,مکی
24,108,نور,۶۴,103,مدنی
25,67,فرقان,۷۷,42,مکی
26,45,شعراء,۲۲۷,47,مکی
27,106,نمل,۹۳,48,مکی
28,75,قصص,۸۸,49,مکی
29,60,عنکبوت,۶۹,85,مکی
30,38,روم,۶۰,84,مکی
31,82,لقمان,۳۴,57,مکی
32,43,سجدة,۳۰,75,مکی
33,3,احزاب,۷۳,90,مدنی
34,42,سبأ,۵۴,58,مکی
35,64,فاطر,۴۵,43,مکی
36,112,یس,۸۳,41,مکی
37,49,صافات,۱۸۲,56,مکی
38,48,ص,۸۸,38,مکی
39,41,زمر,۷۵,59,مکی
40,62,غافر,۸۵,60,مکی
41,68,فصّلت,۵۴,61,مکی
42,47,شوری,۵۳,62,مکی
43,39,زخرف,۸۹,63,مکی
44,34,دخان,۵۹,64,مکی
45,25,جاثیه,۳۷,65,مکی
46,4,احقاف,۳۵,66,مکی
47,87,محمد,۳۸,95,مدنی
48,65,فتح,۲۹,112,مدنی
49,31,حجرات,۱۸,107,مدنی
50,71,ق,۴۵,34,مکی
51,35,ذاریات,۶۰,67,مکی
52,55,طور,۴۹,76,مکی
53,102,نجم,۶۲,23,مکی
54,77,قمر,۵۵,37,مکی
55,36,الرحمن,۷۸,97,مدنی
56,111,واقعه,۹۶,46,مکی
57,32,حدید,۲۹,94,مدنی
58,86,مجادله,۲۲,106,مدنی
59,33,حشر,۲۴,101,مدنی
60,96,ممتحنه,۱۳,91,مدنی
61,50,صف,۱۴,111,مدنی
62,26,جمعه,۱۱,109,مدنی
63,97,منافقون,۱۱,105,مدنی
64,20,تغابن,۱۸,110,مدنی
65,53,طلاق,۱۲,99,مدنی
66,19,تحریم,۱۲,108,مدنی
67,95,مُلک,۳۰,77,مکی
68,76,قلم,۵۲,2,مکی
69,28,حاقه,۵۲,78,مکی
70,94,معارج,۴۴,79,مکی
71,107,نوح,۲۸,71,مکی
72,27,جن,۲۸,40,مکی
73,91,مزّمّل,۲۰,3,مکی
74,88,مدثر,۵۶,4,مکی
75,78,قیامه,۴۰,31,مکی
76,10,انسان,۳۱,98,مدنی
77,89,مرسلات,۵۰,33,مکی
78,101,نبأ,۴۰,80,مکی
79,99,نازعات,۴۶,81,مکی
80,57,عبس,۴۲,24,مکی
81,22,تکویر,۲۹,7,مکی
82,14,انفطار,۱۹,82,مکی
83,93,مطففین,۳۶,86,مکی
84,11,انشقاق,۲۵,83,مکی
85,15,بروج,۲۲,27,مکی
86,52,طارق,۱۷,36,مکی
87,8,اعلی,۱۹,8,مکی
88,61,غاشیه,۲۶,68,مکی
89,66,فجر,۳۰,10,مکی
90,17,بلد,۲۰,35,مکی
91,46,شمس,۱۵,26,مکی
92,83,لیل,۲۱,9,مکی
93,51,ضحی,۱۱,11,مکی
94,44,شرح,۸,12,مکی
95,24,تین,۸,28,مکی
96,59,علق,۱۹,1,مکی
97,73,قدر,۵,25,مکی
98,18,بینه,۸,100,مدنی
99,40,زلزله,۸,93,مدنی
100,56,عادیات,۱۱,14,مکی
101,72,قارعه,۱۱,30,مکی
102,21,تکاثر,۸,16,مکی
103,58,عصر,۳,13,مکی
104,109,همزه,۹,32,مکی
105,70,فیل,۵,19,مکی
106,74,قریش,۴,29,مکی
107,85,ماعون,۷,17,مکی
108,81,کوثر,۳,15,مکی
109,79,کافرون,۶,18,مکی
110,105,نصر,۳,102,مدنی
111,92,مسد,۵,6,مکی
112,5,اخلاص,۴,22,مکی
113,69,فلق,۵,20,مکی
114,100,ناس,۶,21,مکی
